name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
microsoft/TypeScript,https://github.com/microsoft/TypeScript,102253,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,Apache License 2.0,3314,2260,5574,2014-06-17
microsoft/vscode,https://github.com/microsoft/vscode,167498,Visual Studio Code,The MIT License,0,2238,2238,2015-09-03
ant-design/ant-design,https://github.com/ant-design/ant-design,93730,An enterprise-class UI design language and React UI library,The MIT License,0,1444,1444,2015-04-24
backstage/backstage,https://github.com/backstage/backstage,29348,Backstage is an open framework for building developer portals,Apache License 2.0,25,1376,1401,2020-01-24
typeorm/typeorm,https://github.com/typeorm/typeorm,34891,"ORM for TypeScript and JavaScript. Supports MySQL, PostgreSQL, MariaDB, SQLite, MS SQL Server, Oracle, SAP Hana, WebSQL databases. Works in NodeJS, Browser, Ionic, Cordova and Electron platforms.",The MIT License,1232,40,1272,2016-02-29
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,42449,📋 React Hooks for form state management and validation (Web + React Native),The MIT License,1102,12,1114,2019-03-05
hexojs/hexo,https://github.com/hexojs/hexo,39987,"A fast, simple & powerful blog framework, powered by Node.js.",The MIT License,610,4,614,2012-09-23
storybookjs/storybook,https://github.com/storybookjs/storybook,85876,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation",The MIT License,0,538,538,2016-03-18
sequelize/sequelize,https://github.com/sequelize/sequelize,29783,"Feature-rich ORM for modern Node.js and TypeScript, it supports PostgreSQL (with JSON and JSONB support), MySQL, MariaDB, SQLite, MS SQL Server, Snowflake, Oracle DB (v6), DB2 and DB2 for IBM i.",The MIT License,508,0,508,2010-07-22
jestjs/jest,https://github.com/jestjs/jest,44525,Delightful JavaScript Testing.,The MIT License,0,478,478,2013-12-10
angular/angular,https://github.com/angular/angular,96972,Deliver web apps with confidence 🚀,The MIT License,0,432,432,2014-09-18
nuxt/nuxt,https://github.com/nuxt/nuxt,56150,The Intuitive Vue Framework.,The MIT License,403,0,403,2016-10-26
transloadit/uppy,https://github.com/transloadit/uppy,29501,The next open source file uploader for web browsers :dog: ,The MIT License,305,24,329,2015-11-16
reduxjs/redux,https://github.com/reduxjs/redux,61063,A JS library for predictable global state management,The MIT License,241,59,300,2015-05-29
ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,30373,A completely customizable framework for building rich text editors. (Currently in beta.),The MIT License,286,0,286,2016-06-18
FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,35248,Drag & drop UI to build your customized LLM flow,Apache License 2.0,205,41,246,2023-03-31
angular/angular-cli,https://github.com/angular/angular-cli,26822,CLI tool for Angular,The MIT License,0,245,245,2015-06-04
supabase/supabase,https://github.com/supabase/supabase,77625,"The open source Firebase alternative. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",Apache License 2.0,8,214,222,2019-10-12
ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,31023,A reactive programming library for JavaScript,Apache License 2.0,0,218,218,2015-03-15
vercel/hyper,https://github.com/vercel/hyper,43722,A terminal built on web technologies,The MIT License,0,194,194,2016-07-01
facebook/docusaurus,https://github.com/facebook/docusaurus,58378,Easy to maintain open source documentation websites.,The MIT License,0,183,183,2017-06-20
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,40223,🐉 Vue Component Framework,The MIT License,0,157,157,2016-09-12
solidjs/solid,https://github.com/solidjs/solid,33006,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",The MIT License,125,14,139,2018-04-24
babel/babel,https://github.com/babel/babel,43418,🐠 Babel is a compiler for writing next generation JavaScript.,The MIT License,0,139,139,2014-09-28
mantinedev/mantine,https://github.com/mantinedev/mantine,27793,A fully featured React components library,The MIT License,0,131,131,2021-01-07
statelyai/xstate,https://github.com/statelyai/xstate,27811,Actor-based state management & orchestration for complex app logic.,The MIT License,107,15,122,2015-09-14
socketio/socket.io,https://github.com/socketio/socket.io,61632,Realtime application framework (Node.JS server),The MIT License,111,0,111,2010-03-11
hasura/graphql-engine,https://github.com/hasura/graphql-engine,31361,"Blazing fast, instant realtime GraphQL APIs on all your data with fine grained access control, also trigger webhooks on database events.",Apache License 2.0,0,87,87,2018-06-18
nativefier/nativefier,https://github.com/nativefier/nativefier,35080,Make any web page a desktop application,The MIT License,82,0,82,2015-07-05
expo/expo,https://github.com/expo/expo,37415,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",The MIT License,0,80,80,2016-08-15
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,51442,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",The MIT License,0,72,72,2013-08-20
postcss/postcss,https://github.com/postcss/postcss,28658,Transforming styles with JS plugins,The MIT License,68,0,68,2013-09-24
pnpm/pnpm,https://github.com/pnpm/pnpm,30819,"Fast, disk space efficient package manager",The MIT License,0,62,62,2016-01-28
ChatGPTNextWeb/NextChat,https://github.com/ChatGPTNextWeb/NextChat,80931,✨ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android |  Linux | Windows,The MIT License,25,33,58,2023-03-10
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch,68256,"Open source API development ecosystem - https://hoppscotch.io (open-source alternative to Postman, Insomnia)",The MIT License,9,49,58,2019-08-21
immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,33018,Immutable persistent data collections for Javascript which increase efficiency and simplicity.,The MIT License,4,40,44,2014-07-02
vadimdemedes/ink,https://github.com/vadimdemedes/ink,27642,🌈 React for interactive command-line apps,The MIT License,33,9,42,2017-06-12
TanStack/query,https://github.com/TanStack/query,43836,"🤖 Powerful asynchronous state management, server-state utilities and data fetching for the web. TS/JS, React Query, Solid Query, Svelte Query and Vue Query.",The MIT License,2,39,41,2019-09-10
colinhacks/zod,https://github.com/colinhacks/zod,35620,TypeScript-first schema validation with static type inference,The MIT License,29,10,39,2020-03-07
vercel/swr,https://github.com/vercel/swr,31049,React Hooks for Data Fetching,The MIT License,24,13,37,2019-10-28
DIYgod/RSSHub,https://github.com/DIYgod/RSSHub,35267,🧡 Everything is RSSible,The MIT License,22,14,36,2018-04-02
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,92610,Virtual whiteboard for sketching hand-drawn like diagrams,The MIT License,0,36,36,2020-01-02
pmndrs/zustand,https://github.com/pmndrs/zustand,50295,🐻 Bear necessities for state management in React,The MIT License,0,35,35,2019-04-09
slidevjs/slidev,https://github.com/slidevjs/slidev,34945,Presentation Slides for Developers,The MIT License,1,32,33,2021-04-24
refinedev/refine,https://github.com/refinedev/refine,29893,"A React Framework for building  internal tools, admin panels, dashboards & B2B apps with unmatched flexibility.",The MIT License,3,28,31,2021-01-20
