name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
dotnet/runtime,https://github.com/dotnet/runtime,15857,".NET is a cross-platform runtime for cloud, mobile, desktop, and IoT apps.",The MIT License,2897,2151,5048,2019-09-24
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,36101,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",The MIT License,2892,554,3446,2014-03-11
dotnet/roslyn,https://github.com/dotnet/roslyn,19275,The Roslyn .NET compiler provides C# and Visual Basic languages with rich code analysis APIs.,The MIT License,967,2200,3167,2015-01-11
jstedfast/MailKit,https://github.com/jstedfast/MailKit,6333,"A cross-platform .NET library for IMAP, POP3, and SMTP.",The MIT License,843,0,843,2013-12-07
aspnetboilerplate/aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,11873,ASP.NET Boilerplate - Web Application Framework,The MIT License,768,0,768,2013-08-18
dotnet/orleans,https://github.com/dotnet/orleans,10250,Cloud Native application framework for .NET,The MIT License,654,108,762,2014-12-19
graphql-dotnet/graphql-dotnet,https://github.com/graphql-dotnet/graphql-dotnet,5914,GraphQL for .NET,The MIT License,621,27,648,2015-07-06
ThreeMammals/Ocelot,https://github.com/ThreeMammals/Ocelot,8481,.NET API Gateway,The MIT License,259,133,392,2016-06-29
litedb-org/LiteDB,https://github.com/litedb-org/LiteDB,8772,LiteDB - A .NET NoSQL Document Store in a single data file,The MIT License,375,0,375,2014-08-25
microsoft/MixedRealityToolkit-Unity,https://github.com/microsoft/MixedRealityToolkit-Unity,6041,This repository is for the legacy Mixed Reality Toolkit (MRTK) v2.  For the latest version of the MRTK please visit https://github.com/MixedRealityToolkit/MixedRealityToolkit-Unity,The MIT License,303,68,371,2016-01-28
dotnetcore/CAP,https://github.com/dotnetcore/CAP,6782,"Distributed transaction solution in micro-service base on eventually consistency, also an eventbus with Outbox pattern",The MIT License,247,80,327,2016-12-14
AutoMapper/AutoMapper,https://github.com/AutoMapper/AutoMapper,10009,A convention-based object-object mapper in .NET. ,The MIT License,291,0,291,2010-02-06
dotnet/BenchmarkDotNet,https://github.com/dotnet/BenchmarkDotNet,10810,Powerful .NET library for benchmarking,The MIT License,226,35,261,2013-08-18
dotnet/machinelearning,https://github.com/dotnet/machinelearning,9110,ML.NET is an open source and cross-platform machine learning framework for .NET.,The MIT License,255,0,255,2018-05-03
MaterialDesignInXAML/MaterialDesignInXamlToolkit,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit,15395,"Google's Material Design in XAML & WPF, for C# & VB.Net. ",The MIT License,250,0,250,2015-02-07
MudBlazor/MudBlazor,https://github.com/MudBlazor/MudBlazor,8618,Blazor Component Library based on Material Design principles with an emphasis on ease of use and extensibility,The MIT License,212,23,235,2020-08-18
AvaloniaUI/Avalonia,https://github.com/AvaloniaUI/Avalonia,26815,"Develop Desktop, Embedded, Mobile and WebAssembly apps with C# and XAML. The most popular .NET UI client technology",The MIT License,230,0,230,2013-12-05
Perfare/AssetStudio,https://github.com/Perfare/AssetStudio,13760,"AssetStudio is a tool for exploring, extracting and exporting assets and assetbundles.",The MIT License,225,0,225,2016-08-02
Perfare/Il2CppDumper,https://github.com/Perfare/Il2CppDumper,7425,Unity il2cpp reverse engineer,The MIT License,183,0,183,2016-12-30
Tyrrrz/DiscordChatExporter,https://github.com/Tyrrrz/DiscordChatExporter,8176,Exports Discord chat logs to a file,The MIT License,115,62,177,2017-07-12
